Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
1985-01-01,0.09906096756458282,0.10632006431596332,0.09521832513155144,0.09948793100208804,6366416000
1985-02-01,0.08454352617263794,0.10503916364898497,0.08454352617263794,0.09906094704655384,4733388800
1985-03-01,0.07557658851146698,0.08881313066661718,0.07088002590313422,0.08454352570408653,4615587200
1985-04-01,0.07258785516023636,0.07856606498038492,0.06703737253264629,0.07557657525950004,2868028800
1985-05-01,0.059351347386837006,0.07600357228703054,0.05764350494277694,0.07258788739891041,4639129600
1985-06-01,0.06148615479469299,0.06319399743883043,0.0503844136866506,0.05807046950641813,5811388800
1985-07-01,0.054227810353040695,0.06234005766055424,0.054227810353040695,0.06191309427547331,2600595200
1985-08-01,0.051238320767879486,0.055081732420577435,0.04953047859840841,0.0542278113358419,1818745600
1985-09-01,0.05380081385374069,0.058924337115786124,0.05038436775859101,0.05123828830226525,1797196800
1985-10-01,0.063620924949646,0.06575649400934404,0.05123831060623128,0.05380083727317106,3785913600
1985-11-01,0.06874523311853409,0.07088003296194935,0.06362093703142173,0.06362093703142173,2884672000
1985-12-01,0.07514961808919907,0.07813910782602146,0.06575648876859247,0.06874521458469049,3571209600
1986-01-01,0.078993059694767,0.08454354453168235,0.07429572641859594,0.07514964760126779,6291801600
1986-02-01,0.08539746701717377,0.09137567930810431,0.07813913970418206,0.07899306089988127,3420860800
1986-03-01,0.09649916738271713,0.10119574088491817,0.08283567476037665,0.0853974374608398,4264332800
1986-04-01,0.10333129018545151,0.11187048615546259,0.08966778876902712,0.0964991489655761,4462684800
1986-05-01,0.12638868391513824,0.12809652554740145,0.10162345810682956,0.10333129973909277,4954051200
1986-06-01,0.1225452795624733,0.1336470203455898,0.11101658690142056,0.12638869019724783,4063360000
1986-07-01,0.10674697905778885,0.12895044729786714,0.10247736943405338,0.1225452689415957,5691638400
1986-08-01,0.12638868391513824,0.12980436717966465,0.10461217811283981,0.10632001974510302,3643516800
1986-09-01,0.11443302780389786,0.12681564632620576,0.10802786065546742,0.12681564632620576,3578198400
1986-10-01,0.1182757318019867,0.12041052631454681,0.11016270768669063,0.11400611997325265,2984038400
1986-11-01,0.13663573563098907,0.14090610939332238,0.11571390857027747,0.11870264002013638,5206163200
1986-12-01,0.13834434747695923,0.14987304024958864,0.1336470216390487,0.13663574182253768,4762576000
1987-01-01,0.18958264589309692,0.19556009736937058,0.13706269839924903,0.13791737744410595,8268915200
1987-02-01,0.23911312222480774,0.24380968416348026,0.17634612147143258,0.1895826560383469,6616176000
1987-03-01,0.22032544016838074,0.24082107973063277,0.21264016537611002,0.2399671755116803,5959318400
1987-04-01,0.2707105278968811,0.2732723080603214,0.21306704227642068,0.21520184767748343,6813161600
1987-05-01,0.2702673673629761,0.2813859965701414,0.24803008611032823,0.27197779745660466,3838956800
1987-06-01,0.2771089971065521,0.29592538762878073,0.26000383531835003,0.2719776860884936,3497536000
1987-07-01,0.28224125504493713,0.30618896910711046,0.24974056736521208,0.2788195951285278,3070256000
1987-08-01,0.3699568510055542,0.37166949277214445,0.2740421431933879,0.28089273312759727,3119300800
1987-09-01,0.3870839476585388,0.4024993862551726,0.3322760274815393,0.37509463722624536,3075486400
1987-10-01,0.264621764421463,0.4093501505925734,0.18926043125634942,0.3887967582895578,6575699200
1987-11-01,0.2265777289867401,0.2746396458034671,0.20941229706693698,0.2660569183847116,4234238400
1987-12-01,0.28837156295776367,0.30038704474767053,0.20426319042841595,0.23001053027030594,4702264000
1988-01-01,0.284938782453537,0.3175516725997415,0.26262421844996386,0.29352070944687364,6221600000
1988-02-01,0.2958201467990875,0.30097945340857224,0.2597026123900589,0.2872205140567044,3368467200
1988-03-01,0.2751813232898712,0.32849733999758673,0.26658166797929195,0.2975398943578907,4882102400
1988-04-01,0.2820603847503662,0.2915199089449269,0.26486190116274905,0.27346153332600065,3297929600
1988-05-01,0.2860657274723053,0.2972671369995436,0.2576310156169547,0.28089542846194293,2638507200
1988-06-01,0.318807452917099,0.32225458573213794,0.28434242905243257,0.2860655928139661,3534731200
1988-07-01,0.30588290095329285,0.32742411720770476,0.2912351223904,0.32053143879151336,2186419200
1988-08-01,0.275382399559021,0.3159556636231128,0.2710655499679165,0.3073227712511205,2653313600
1988-09-01,0.298690527677536,0.3055962206687581,0.26070691105480787,0.27451905774368424,3060321600
1988-10-01,0.2667495310306549,0.29869068933633747,0.2589798326893071,0.2969642766800097,3563649600
1988-11-01,0.2605293393135071,0.27524342705163185,0.24581446574914928,0.26658775910737637,2939865600
1988-12-01,0.2787055969238281,0.29082323157269024,0.25966325623195863,0.2613950336691114,2946070400
1989-01-01,0.26139500737190247,0.30467180406832034,0.2510083422657404,0.27870556888511905,7345833600
1989-02-01,0.2517002820968628,0.27947386002049124,0.24475648782539208,0.2621155795075714,4886268800
1989-03-01,0.24736039340496063,0.253436312504647,0.23260569571722592,0.2517005475165217,3859676800
1989-04-01,0.27079451084136963,0.2890214733833323,0.23520925592300532,0.24649241944777509,3966424000
1989-05-01,0.3322761356830597,0.3409746919782185,0.26790868655431455,0.26790868655431455,5253382400
1989-06-01,0.28704535961151123,0.3496732400087545,0.2748676923286831,0.33227612782962235,3941280000
1989-07-01,0.2766071557998657,0.2922639297187458,0.26268994858481026,0.29052438624197147,3688630400
1989-08-01,0.31039509177207947,0.3191142875842032,0.2737754053043795,0.2772635632419235,3352305600
1989-09-01,0.31039509177207947,0.3260898118655235,0.2999330160229202,0.31039509177207947,2020849600
1989-10-01,0.3243460953235626,0.35137473482175063,0.29644481694622093,0.31039504869697965,4125049600
1989-11-01,0.30941176414489746,0.3303890714383291,0.2971751318694038,0.3233963633794071,2524939200
1989-12-01,0.24648061394691467,0.3199004080401398,0.22725209038052924,0.3111597329697882,5941185600
1990-01-01,0.2377399504184723,0.2709538917990513,0.22462934561811487,0.24648062591317021,3747497600
1990-02-01,0.23850585520267487,0.24727468972225172,0.22622980063246032,0.24201387135365315,2483891200
1990-03-01,0.2823493182659149,0.30427102312511006,0.23324508900227753,0.23499868771245286,4556473600
1990-04-01,0.2762117087841034,0.31040867747422346,0.2674428716325867,0.2805957410169334,3642475200
1990-05-01,0.29016736149787903,0.3007181915488675,0.27258100899502946,0.27961570965800914,4115630400
1990-06-01,0.3147876262664795,0.3156668465442051,0.2637878724652096,0.29104661255562264,3952054400
1990-07-01,0.2954428195953369,0.335890123734373,0.28137423800723127,0.3130283528730615,4163812800
1990-08-01,0.26105767488479614,0.3086832087108087,0.23636301818793146,0.29633588036237635,3128339200
1990-09-01,0.2046130746603012,0.26458507005951243,0.1922657432870898,0.25752993323795886,2206948800
1990-10-01,0.21696044504642487,0.22577938580077347,0.17109872432987988,0.2081407035700216,5056116800
1990-11-01,0.2601606845855713,0.2725492886134556,0.2106062684740339,0.21591531913509243,3254608000
1990-12-01,0.3044058382511139,0.32033380618123314,0.26193017802954244,0.26369987610491735,4094092800
1991-01-01,0.39289578795433044,0.3964351614431792,0.2973263710823844,0.30263541950096906,7037307200
1991-02-01,0.4061371386051178,0.4416077106793735,0.38840142634430236,0.3937224502186752,5545780800
1991-03-01,0.4823988974094391,0.4983604193108608,0.40436404839027545,0.40436404839027545,5210598400
1991-04-01,0.39017486572265625,0.5196425502783273,0.38662804493337666,0.482398552241719,7243051200
1991-05-01,0.3342757523059845,0.3822835238574416,0.3129387592058291,0.3413875215001153,7972843200
1991-06-01,0.2951584756374359,0.3520559967900511,0.28626793972754233,0.3342757321195665,4091662400
1991-07-01,0.32894113659858704,0.34316633884123154,0.2969364969056901,0.3004923701519264,3783494400
1991-08-01,0.377799928188324,0.39562114573165563,0.32611982015106455,0.32790179438703493,4172649600
1991-09-01,0.3528507947921753,0.3813645899696561,0.3314664655717778,0.37601788309096096,2393070400
1991-10-01,0.3671073615550995,0.4009670625309681,0.3314665428220513,0.35106890271074337,3593990400
1991-11-01,0.3626314401626587,0.3947863064485914,0.3394086110311115,0.3662039354276752,3696033600
1991-12-01,0.4028244912624359,0.4144359203003092,0.34655448849142473,0.3626315197021757,2607169600
1992-01-01,0.4626674950122833,0.4930352774003704,0.3965723668652403,0.39835862563344826,4703160000
1992-02-01,0.48322024941444397,0.5011169275272478,0.44205646560601214,0.46353315796270417,2534996800
1992-03-01,0.417000412940979,0.49037836265552875,0.41342126069190305,0.4850096103868094,2985662400
1992-04-01,0.4304232895374298,0.4384772329132818,0.3794168054839838,0.40984223765503625,3931390400
1992-05-01,0.42773905396461487,0.45279490412868123,0.41700068226782727,0.4295286073498604,2703724800
1992-06-01,0.3443138003349304,0.42680608928534675,0.30665443951563515,0.4106666163335177,4851683200
1992-07-01,0.3353480398654938,0.3550739233300364,0.31203498784522493,0.34431397397013375,3632809600
1992-08-01,0.3308544456958771,0.33984529166387,0.29848868701499326,0.3362492749776455,2746531200
1992-09-01,0.32456135749816895,0.3596249319259846,0.31467150333734045,0.33265237541616444,3055662400
1992-10-01,0.3776058852672577,0.38839475174329624,0.2984886914738638,0.3218644207921443,3531427200
1992-11-01,0.4144483804702759,0.42886386961799217,0.371201143151442,0.3784092967217578,3126547200
1992-12-01,0.4306655824184418,0.4414773763768048,0.39282464038467935,0.41264645511054,3334318400
1993-01-01,0.42886385321617126,0.4703084250333919,0.41264656688225476,0.42886385321617126,5542264000
1993-02-01,0.38284602761268616,0.4442460266855794,0.3720106287045321,0.42799332615617247,4651281600
1993-03-01,0.37201064825057983,0.4171579732772607,0.36298184388887716,0.3828460477280434,3661526400
1993-04-01,0.3702048659324646,0.37923448931262116,0.33769951411776156,0.3702048659324646,3914411200
